attempt_count,same_password_count,recent_attempts,country,service,risk_level,attack_type
25,7,17,Germany,web_login,High,Bot Attack
3,1,1,United Kingdom,admin_panel,Low,Normal
1,1,3,United Kingdom,admin_panel,Low,Normal
30,5,14,Brazil,web_login,High,Brute Force
16,6,17,Australia,web_login,High,Brute Force
2,0,2,Germany,web_login,Low,Normal
1,1,1,Canada,web_login,Low,Normal
38,5,22,France,web_login,High,Brute Force
2,1,3,Canada,web_login,Low,Normal
24,7,18,Russia,web_login,High,Brute Force
26,12,24,Canada,admin_panel,High,Brute Force
17,8,27,Canada,admin_panel,High,Brute Force
43,3,24,Australia,web_login,High,Bot Attack
15,16,3,India,web_login,High,Credential Stuffing
57,7,38,Russia,web_login,High,Bot Attack
24,7,18,United Kingdom,admin_panel,High,Brute Force
3,0,0,India,admin_panel,Low,Normal
54,7,32,Australia,admin_panel,High,Bot Attack
32,8,21,Germany,admin_panel,High,Bot Attack
12,18,4,United Kingdom,web_login,High,Credential Stuffing
13,7,23,Brazil,admin_panel,High,Brute Force
27,6,10,China,web_login,High,Brute Force
54,5,18,France,admin_panel,High,Bot Attack
19,10,11,United Kingdom,web_login,High,Brute Force
39,4,39,United States,web_login,High,Bot Attack
34,9,17,China,admin_panel,High,Brute Force
21,6,27,Germany,admin_panel,High,Bot Attack
53,5,38,China,web_login,High,Bot Attack
32,10,21,India,web_login,High,Brute Force
47,5,30,China,web_login,High,Bot Attack
7,10,8,Canada,web_login,High,Credential Stuffing
8,10,2,Brazil,web_login,High,Credential Stuffing
17,6,20,Germany,admin_panel,High,Brute Force
18,6,14,Canada,web_login,High,Brute Force
19,8,23,Russia,web_login,High,Brute Force
60,5,25,Canada,admin_panel,High,Bot Attack
9,18,2,France,admin_panel,High,Credential Stuffing
9,16,6,United Kingdom,admin_panel,High,Credential Stuffing
3,2,1,Canada,admin_panel,Low,Normal
13,13,6,Brazil,web_login,High,Credential Stuffing
27,6,40,Australia,web_login,High,Bot Attack
16,8,16,Germany,web_login,High,Brute Force
13,16,7,France,admin_panel,High,Credential Stuffing
2,1,0,France,admin_panel,Low,Normal
2,0,0,Germany,web_login,Low,Normal
19,11,22,Canada,admin_panel,High,Brute Force
36,7,18,France,web_login,High,Brute Force
11,18,8,China,admin_panel,High,Credential Stuffing
23,12,24,Canada,admin_panel,High,Brute Force
14,8,11,France,admin_panel,High,Brute Force
11,18,5,United Kingdom,web_login,High,Credential Stuffing
3,2,1,Russia,web_login,Low,Normal
5,10,5,France,web_login,High,Credential Stuffing
49,8,36,Russia,admin_panel,High,Bot Attack
10,15,4,Canada,web_login,High,Credential Stuffing
1,2,3,Brazil,admin_panel,Low,Normal
1,1,2,Russia,admin_panel,Low,Normal
5,17,6,India,admin_panel,High,Credential Stuffing
13,17,6,Russia,admin_panel,High,Credential Stuffing
21,8,19,United States,web_login,High,Brute Force
5,12,5,Germany,web_login,High,Credential Stuffing
32,5,23,China,admin_panel,High,Bot Attack
52,7,37,United Kingdom,web_login,High,Bot Attack
2,0,1,Australia,admin_panel,Low,Normal
26,12,11,United Kingdom,web_login,High,Brute Force
2,0,3,Germany,web_login,Low,Normal
2,1,3,Germany,web_login,Low,Normal
38,6,18,Germany,web_login,High,Brute Force
18,6,22,United Kingdom,web_login,High,Brute Force
14,16,2,United States,web_login,High,Credential Stuffing
5,19,8,Australia,web_login,High,Credential Stuffing
32,8,32,Russia,admin_panel,High,Bot Attack
21,3,34,United Kingdom,admin_panel,High,Bot Attack
18,12,11,Brazil,admin_panel,High,Brute Force
5,17,3,China,web_login,High,Credential Stuffing
14,9,4,Russia,web_login,High,Credential Stuffing
32,3,18,Brazil,admin_panel,High,Bot Attack
31,5,23,United States,admin_panel,High,Brute Force
1,2,3,China,web_login,Low,Normal
36,8,37,China,web_login,High,Bot Attack
46,6,30,India,admin_panel,High,Bot Attack
18,9,26,France,web_login,High,Brute Force
24,5,40,United Kingdom,web_login,High,Bot Attack
39,5,12,United Kingdom,web_login,High,Brute Force
11,20,8,Brazil,web_login,High,Credential Stuffing
51,7,34,United States,web_login,High,Bot Attack
58,4,19,France,admin_panel,High,Bot Attack
1,0,3,Brazil,web_login,Low,Normal
1,0,1,United Kingdom,web_login,Low,Normal
1,2,3,Australia,admin_panel,Low,Normal
3,0,1,China,web_login,Low,Normal
6,16,2,Australia,admin_panel,High,Credential Stuffing
35,6,31,Russia,admin_panel,High,Bot Attack
23,7,19,Canada,web_login,High,Bot Attack
58,7,35,Brazil,web_login,High,Bot Attack
13,6,27,United States,web_login,High,Brute Force
7,12,4,United Kingdom,web_login,High,Credential Stuffing
46,4,21,Russia,admin_panel,High,Bot Attack
2,2,2,Canada,web_login,Low,Normal
2,2,3,Germany,web_login,Low,Normal
50,6,37,India,web_login,High,Bot Attack
1,0,1,India,admin_panel,Low,Normal
21,6,25,Brazil,admin_panel,High,Brute Force
38,9,10,United States,web_login,High,Brute Force
29,7,38,India,web_login,High,Bot Attack
23,8,17,United Kingdom,web_login,High,Bot Attack
5,19,2,China,admin_panel,High,Credential Stuffing
22,5,22,India,admin_panel,High,Brute Force
3,0,1,Brazil,admin_panel,Low,Normal
12,10,16,France,admin_panel,High,Brute Force
15,19,7,Canada,web_login,High,Credential Stuffing
12,8,8,United Kingdom,web_login,High,Credential Stuffing
22,7,16,Russia,admin_panel,High,Bot Attack
2,0,0,Australia,web_login,Low,Normal
21,8,37,Russia,admin_panel,High,Bot Attack
40,8,20,France,web_login,High,Brute Force
15,11,21,Canada,admin_panel,High,Brute Force
9,20,2,Germany,admin_panel,High,Credential Stuffing
23,5,26,India,admin_panel,High,Bot Attack
1,1,1,India,admin_panel,Low,Normal
13,14,2,Brazil,web_login,High,Credential Stuffing
56,4,40,Russia,admin_panel,High,Bot Attack
15,10,3,Canada,admin_panel,High,Credential Stuffing
3,0,2,Australia,web_login,Low,Normal
47,5,32,Germany,admin_panel,High,Bot Attack
8,13,6,India,web_login,High,Credential Stuffing
10,7,25,Australia,admin_panel,High,Brute Force
2,0,1,United Kingdom,web_login,Low,Normal
30,8,30,France,admin_panel,High,Bot Attack
2,0,3,Brazil,admin_panel,Low,Normal
38,7,24,India,admin_panel,High,Brute Force
38,5,10,Canada,admin_panel,High,Brute Force
1,2,2,Brazil,web_login,Low,Normal
7,8,5,Germany,web_login,High,Credential Stuffing
45,7,27,Russia,web_login,High,Bot Attack
2,2,3,Canada,admin_panel,Low,Normal
58,7,37,India,web_login,High,Bot Attack
3,0,3,United States,web_login,Low,Normal
60,7,16,Russia,web_login,High,Bot Attack
29,8,28,United States,admin_panel,High,Brute Force
33,5,22,United Kingdom,admin_panel,High,Bot Attack
14,13,5,United Kingdom,admin_panel,High,Credential Stuffing
11,12,23,France,admin_panel,High,Brute Force
8,9,4,Australia,admin_panel,High,Credential Stuffing
2,0,0,Brazil,web_login,Low,Normal
1,0,2,France,web_login,Low,Normal
12,12,6,France,admin_panel,High,Credential Stuffing
21,7,29,Germany,web_login,High,Bot Attack
12,12,22,United Kingdom,web_login,High,Brute Force
9,19,2,Russia,admin_panel,High,Credential Stuffing
60,3,32,Brazil,web_login,High,Bot Attack
24,5,20,Australia,admin_panel,High,Bot Attack
2,0,3,China,admin_panel,Low,Normal
3,2,3,Russia,web_login,Low,Normal
32,7,23,Canada,web_login,High,Bot Attack
33,5,33,United Kingdom,web_login,High,Bot Attack
53,7,24,Brazil,admin_panel,High,Bot Attack
25,11,30,United Kingdom,admin_panel,High,Brute Force
14,12,4,India,admin_panel,High,Credential Stuffing
20,7,22,India,admin_panel,High,Bot Attack
33,11,25,Germany,admin_panel,High,Brute Force
1,0,2,Germany,web_login,Low,Normal
24,4,36,India,admin_panel,High,Bot Attack
2,1,0,China,admin_panel,Low,Normal
12,15,4,China,web_login,High,Credential Stuffing
3,1,0,France,web_login,Low,Normal
36,10,29,United States,web_login,High,Brute Force
23,9,13,France,web_login,High,Brute Force
3,0,2,Canada,web_login,Low,Normal
9,19,2,Russia,admin_panel,High,Credential Stuffing
30,6,19,Brazil,admin_panel,High,Brute Force
5,19,5,China,web_login,High,Credential Stuffing
56,4,25,Australia,admin_panel,High,Bot Attack
22,12,28,France,web_login,High,Brute Force
44,6,17,United Kingdom,admin_panel,High,Bot Attack
29,11,30,United Kingdom,admin_panel,High,Brute Force
39,10,22,India,web_login,High,Brute Force
3,2,1,Germany,web_login,Low,Normal
43,7,17,Australia,web_login,High,Bot Attack
34,6,22,United Kingdom,web_login,High,Brute Force
60,5,20,France,web_login,High,Bot Attack
24,7,17,Russia,admin_panel,High,Brute Force
30,4,28,India,admin_panel,High,Bot Attack
3,1,2,Canada,web_login,Low,Normal
13,10,20,China,admin_panel,High,Brute Force
1,0,2,United Kingdom,web_login,Low,Normal
1,2,2,United States,admin_panel,Low,Normal
28,7,32,Australia,admin_panel,High,Bot Attack
1,2,3,Australia,admin_panel,Low,Normal
49,4,25,Brazil,web_login,High,Bot Attack
6,13,6,United States,admin_panel,High,Credential Stuffing
3,1,2,Germany,admin_panel,Low,Normal
15,15,8,United States,web_login,High,Credential Stuffing
32,4,23,China,web_login,High,Bot Attack
25,8,32,Brazil,admin_panel,High,Bot Attack
15,9,6,France,web_login,High,Credential Stuffing
16,9,27,Canada,web_login,High,Brute Force
24,8,30,Germany,web_login,High,Bot Attack
3,0,3,Australia,web_login,Low,Normal
5,15,7,China,admin_panel,High,Credential Stuffing
26,8,30,Germany,admin_panel,High,Bot Attack
13,18,8,Brazil,web_login,High,Credential Stuffing
14,5,26,Russia,admin_panel,High,Brute Force
26,8,36,United States,admin_panel,High,Bot Attack
3,2,0,India,admin_panel,Low,Normal
3,0,1,India,admin_panel,Low,Normal
39,3,19,India,admin_panel,High,Bot Attack
9,19,6,Brazil,web_login,High,Credential Stuffing
7,12,5,China,admin_panel,High,Credential Stuffing
19,8,15,China,admin_panel,High,Brute Force
7,17,5,Germany,admin_panel,High,Credential Stuffing
7,18,6,Germany,admin_panel,High,Credential Stuffing
11,19,7,United Kingdom,web_login,High,Credential Stuffing
47,7,19,India,admin_panel,High,Bot Attack
22,4,30,Canada,web_login,High,Bot Attack
10,18,2,Canada,admin_panel,High,Credential Stuffing
2,0,1,Canada,admin_panel,Low,Normal
42,4,33,Australia,web_login,High,Bot Attack
12,11,4,Russia,admin_panel,High,Credential Stuffing
34,7,32,Brazil,web_login,High,Bot Attack
36,10,23,China,web_login,High,Brute Force
13,13,6,Russia,admin_panel,High,Credential Stuffing
30,7,17,Brazil,admin_panel,High,Brute Force
14,5,15,United States,admin_panel,High,Brute Force
29,8,29,China,web_login,High,Bot Attack
10,10,2,Canada,web_login,High,Credential Stuffing
12,10,24,United States,admin_panel,High,Brute Force
2,2,0,China,admin_panel,Low,Normal
3,1,3,Germany,admin_panel,Low,Normal
34,7,15,Canada,web_login,High,Bot Attack
7,19,3,Russia,admin_panel,High,Credential Stuffing
27,11,28,China,web_login,High,Brute Force
3,0,0,India,admin_panel,Low,Normal
11,9,23,Canada,admin_panel,High,Brute Force
45,4,22,France,web_login,High,Bot Attack
2,1,3,India,web_login,Low,Normal
1,0,3,India,admin_panel,Low,Normal
46,4,21,India,web_login,High,Bot Attack
22,7,16,Russia,admin_panel,High,Bot Attack
26,5,39,Australia,web_login,High,Bot Attack
13,9,7,France,web_login,High,Credential Stuffing
49,6,40,China,web_login,High,Bot Attack
12,17,7,United Kingdom,admin_panel,High,Credential Stuffing
47,6,32,United States,web_login,High,Bot Attack
22,3,32,France,admin_panel,High,Bot Attack
51,6,30,China,admin_panel,High,Bot Attack
1,0,2,United States,web_login,Low,Normal
2,2,3,United Kingdom,admin_panel,Low,Normal
36,7,31,Russia,admin_panel,High,Bot Attack
32,7,13,France,web_login,High,Brute Force
19,6,24,Australia,web_login,High,Brute Force
9,13,8,China,web_login,High,Credential Stuffing
1,2,2,Russia,admin_panel,Low,Normal
1,0,2,Germany,admin_panel,Low,Normal
25,6,10,India,web_login,High,Brute Force
37,7,28,Russia,web_login,High,Brute Force
29,7,34,France,admin_panel,High,Bot Attack
35,7,15,Australia,web_login,High,Bot Attack
10,13,3,India,web_login,High,Credential Stuffing
52,5,18,Germany,web_login,High,Bot Attack
20,5,27,China,web_login,High,Bot Attack
1,2,3,Germany,web_login,Low,Normal
40,11,19,India,admin_panel,High,Brute Force
51,6,30,Australia,web_login,High,Bot Attack
13,9,28,Australia,web_login,High,Brute Force
26,8,37,Russia,admin_panel,High,Bot Attack
38,5,11,France,admin_panel,High,Brute Force
14,9,21,Russia,web_login,High,Brute Force
2,2,2,Brazil,web_login,Low,Normal
2,2,1,United States,admin_panel,Low,Normal
1,1,2,Russia,admin_panel,Low,Normal
11,10,26,United States,web_login,High,Brute Force
32,10,30,India,web_login,High,Brute Force
40,3,26,United Kingdom,web_login,High,Bot Attack
3,2,2,India,admin_panel,Low,Normal
36,6,34,Russia,web_login,High,Bot Attack
5,15,6,France,admin_panel,High,Credential Stuffing
57,3,40,India,admin_panel,High,Bot Attack
5,13,8,Australia,admin_panel,High,Credential Stuffing
6,19,7,Germany,admin_panel,High,Credential Stuffing
35,7,27,Brazil,web_login,High,Bot Attack
1,2,3,France,web_login,Low,Normal
26,8,17,India,admin_panel,High,Brute Force
6,20,5,Germany,admin_panel,High,Credential Stuffing
17,6,15,United States,admin_panel,High,Brute Force
3,2,2,United Kingdom,admin_panel,Low,Normal
1,2,2,Germany,admin_panel,Low,Normal
27,8,10,France,admin_panel,High,Brute Force
32,6,22,China,web_login,High,Brute Force
43,8,33,Germany,admin_panel,High,Bot Attack
19,7,13,Germany,web_login,High,Brute Force
10,15,7,Russia,admin_panel,High,Credential Stuffing
50,6,20,United Kingdom,web_login,High,Bot Attack
11,20,3,Australia,web_login,High,Credential Stuffing
1,2,2,China,web_login,Low,Normal
13,16,4,China,web_login,High,Credential Stuffing
20,8,16,France,web_login,High,Brute Force
3,0,3,United States,admin_panel,Low,Normal
33,8,23,Germany,admin_panel,High,Brute Force
3,0,3,Germany,web_login,Low,Normal
3,2,0,Australia,admin_panel,Low,Normal
2,0,0,Germany,admin_panel,Low,Normal
3,0,0,Australia,web_login,Low,Normal
2,1,1,France,web_login,Low,Normal
28,8,21,Brazil,web_login,High,Bot Attack
36,5,23,Brazil,admin_panel,High,Bot Attack
35,5,25,China,admin_panel,High,Bot Attack
36,11,18,United Kingdom,admin_panel,High,Brute Force
60,6,30,Russia,admin_panel,High,Bot Attack
10,11,3,United Kingdom,admin_panel,High,Credential Stuffing
40,3,28,Russia,web_login,High,Bot Attack
40,8,31,Australia,web_login,High,Bot Attack
27,8,17,Brazil,web_login,High,Brute Force
3,1,2,Australia,web_login,Low,Normal
57,8,35,Russia,admin_panel,High,Bot Attack
51,5,32,Australia,web_login,High,Bot Attack
11,5,17,Russia,web_login,High,Brute Force
1,1,0,Canada,admin_panel,Low,Normal
6,12,7,United Kingdom,admin_panel,High,Credential Stuffing
14,11,11,United States,admin_panel,High,Brute Force
11,5,18,France,web_login,High,Brute Force
3,0,3,China,web_login,Low,Normal
9,9,8,Brazil,admin_panel,High,Credential Stuffing
11,13,4,United States,admin_panel,High,Credential Stuffing
31,8,28,China,admin_panel,High,Brute Force
2,1,0,India,web_login,Low,Normal
22,4,37,Canada,web_login,High,Bot Attack
26,6,25,France,admin_panel,High,Bot Attack
29,4,17,United Kingdom,admin_panel,High,Bot Attack
1,2,2,United Kingdom,web_login,Low,Normal
20,11,26,Canada,web_login,High,Brute Force
3,1,3,Canada,web_login,Low,Normal
3,2,3,Australia,web_login,Low,Normal
12,14,2,China,web_login,High,Credential Stuffing
9,14,7,Canada,admin_panel,High,Credential Stuffing
28,6,26,United States,admin_panel,High,Brute Force
2,0,2,Germany,web_login,Low,Normal
14,12,19,Australia,web_login,High,Brute Force
1,1,3,Australia,admin_panel,Low,Normal
29,9,25,Germany,admin_panel,High,Brute Force
14,17,7,India,web_login,High,Credential Stuffing
5,17,5,United Kingdom,admin_panel,High,Credential Stuffing
41,4,32,Canada,admin_panel,High,Bot Attack
3,1,1,India,web_login,Low,Normal
27,3,27,France,admin_panel,High,Bot Attack
42,4,37,Germany,web_login,High,Bot Attack
3,0,2,Russia,web_login,Low,Normal
26,6,16,India,web_login,High,Brute Force
38,10,13,Russia,admin_panel,High,Brute Force
39,7,30,Australia,admin_panel,High,Bot Attack
35,10,27,Canada,admin_panel,High,Brute Force
1,2,2,Australia,web_login,Low,Normal
39,8,15,France,admin_panel,High,Bot Attack
16,9,12,India,admin_panel,High,Brute Force
7,14,4,China,web_login,High,Credential Stuffing
7,8,4,Russia,admin_panel,High,Credential Stuffing
42,4,23,United Kingdom,admin_panel,High,Bot Attack
7,10,6,China,web_login,High,Credential Stuffing
32,12,11,Australia,web_login,High,Brute Force
3,0,2,United States,web_login,Low,Normal
7,15,7,Russia,web_login,High,Credential Stuffing
2,1,3,Brazil,web_login,Low,Normal
8,8,4,United States,web_login,High,Credential Stuffing
3,0,0,Russia,admin_panel,Low,Normal
37,10,13,Germany,admin_panel,High,Brute Force
1,2,3,Brazil,admin_panel,Low,Normal
34,7,24,United States,web_login,High,Brute Force
39,8,29,Australia,admin_panel,High,Brute Force
41,4,29,Canada,admin_panel,High,Bot Attack
3,0,0,United States,web_login,Low,Normal
55,6,25,Brazil,web_login,High,Bot Attack
3,2,2,United Kingdom,web_login,Low,Normal
44,5,28,Australia,admin_panel,High,Bot Attack
51,4,17,Russia,admin_panel,High,Bot Attack
